text,canonical_form_1,category_1,severity_rating,severity_description,text_without_stopwords
bitchy,bitch,sexual orientation / gender,1.2,Mild,bitchy
m0therfucking,motherfucker,sexual anatomy / sexual acts,3.0,Severe,m0therfucking
mofukkas,motherfucker,sexual anatomy / sexual acts,2.4,Strong,mofukkas
bollocktician,bollocks,sexual anatomy / sexual acts,1.4,Mild,bollocktician
gobshite,shit,bodily fluids / excrement,1.8,Strong,gobshite
fking,fuck,sexual anatomy / sexual acts,2.2,Strong,fking
sixty-nine,69,sexual anatomy / sexual acts,1.2,Mild,sixty-nine
biotches,bitch,sexual orientation / gender,1.2,Mild,biotches
b1tchs,bitch,sexual orientation / gender,1.4,Mild,b1tchs
goddamned,damn,religious offense,1.8,Strong,goddamned
ass-hole,ass,sexual anatomy / sexual acts,2.0,Strong,ass-hole
fcuker,fuck,sexual anatomy / sexual acts,2.4,Strong,fcuker
hooters,hooters,sexual anatomy / sexual acts,1.0,Mild,hooters
twatface,twat,sexual anatomy / sexual acts,2.4,Strong,twatface
butt-fucking-bandit,fuck,sexual anatomy / sexual acts,2.6,Severe,butt-fucking-bandit
wise ass,ass,sexual anatomy / sexual acts,1.0,Mild,wiseass
shitdick,shit,sexual anatomy / sexual acts,2.4,Strong,shitdick
wankies,wank,sexual anatomy / sexual acts,1.6,Strong,wankies
assholes,ass,sexual anatomy / sexual acts,1.6,Strong,assholes
beeotch,bitch,sexual orientation / gender,1.0,Mild,beeotch
knob3nd,knob,sexual anatomy / sexual acts,1.2,Mild,knob3nd
cock sucking,cock,sexual anatomy / sexual acts,2.2,Strong,cocksucking
dune coon,coon,racial / ethnic slurs,3.0,Severe,dunecoon
scumfvck,fuck,sexual anatomy / sexual acts,2.4,Strong,scumfvck
assfcker,ass,sexual anatomy / sexual acts,2.8,Severe,assfcker
motherfuckkas,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuckkas
retardo,retard,physical disability,2.6,Severe,retardo
m@derfaker,motherfucker,sexual anatomy / sexual acts,2.8,Severe,m@derfaker
shitfreak,shit,bodily fluids / excrement,2.0,Strong,shitfreak
ragheads,raghead,racial / ethnic slurs,2.6,Severe,ragheads
cunts,cunt,sexual anatomy / sexual acts,2.6,Severe,cunts
meat curtains,meat curtains,sexual anatomy / sexual acts,2.0,Strong,meatcurtains
fags,faggot,sexual orientation / gender,3.0,Severe,fags
asshol3,ass,sexual anatomy / sexual acts,1.8,Strong,asshol3
nigguhz,nigger,racial / ethnic slurs,3.0,Severe,nigguhz
bitchfuck,fuck,sexual anatomy / sexual acts,2.4,Strong,bitchfuck
dickmuncher,dick,sexual anatomy / sexual acts,2.0,Strong,dickmuncher
go to hell,hell,other / general insult,1.0,Mild,gohell
fack,fuck,sexual anatomy / sexual acts,1.4,Mild,fack
god-damned,damn,religious offense,1.4,Mild,god-damned
prick-gobbler,prick,sexual anatomy / sexual acts,2.2,Strong,prick-gobbler
kid diddler,diddle,sexual anatomy / sexual acts,3.0,Severe,kiddiddler
niggahs,nigger,racial / ethnic slurs,2.2,Strong,niggahs
motherfckshit,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfckshit
@55,ass,sexual anatomy / sexual acts,1.0,Mild,@55
faggot nobjockies,faggot,sexual orientation / gender,3.0,Severe,faggotnobjockies
fuck head,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckhead
spic,spic,racial / ethnic slurs,3.0,Severe,spic
fuckstar,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckstar
dickjockies,dick,sexual anatomy / sexual acts,2.2,Strong,dickjockies
cuntelope,cunt,sexual anatomy / sexual acts,2.4,Strong,cuntelope
cooterpuffing,coot,sexual anatomy / sexual acts,2.4,Strong,cooterpuffing
cocksmoker,cock,sexual anatomy / sexual acts,2.2,Strong,cocksmoker
heeb,hebe,racial / ethnic slurs,2.2,Strong,heeb
mong,mong,racial / ethnic slurs,1.8,Strong,mong
wankbastard,wank,sexual anatomy / sexual acts,1.8,Strong,wankbastard
dog shit,shit,bodily fluids / excrement,1.2,Mild,dogshit
son-of-a-bitch,bitch,sexual orientation / gender,1.2,Mild,son-of-a-bitch
tar-baby,tar-baby,racial / ethnic slurs,2.6,Severe,tar-baby
mongoloid,mongoloid,racial / ethnic slurs,2.2,Strong,mongoloid
f0cked,fuck,sexual anatomy / sexual acts,2.0,Strong,f0cked
stupid fucker,fuck,sexual anatomy / sexual acts,2.4,Strong,stupidfucker
tadger,tadger,sexual anatomy / sexual acts,1.4,Mild,tadger
ass kisser,ass,sexual anatomy / sexual acts,1.2,Mild,asskisser
sum of a bitch,bitch,other / general insult,1.4,Mild,sumbitch
cunt ass,cunt,sexual anatomy / sexual acts,2.8,Severe,cuntass
whoar,whore,sexual orientation / gender,1.8,Strong,whoar
sphincter,sphincter,sexual anatomy / sexual acts,1.0,Mild,sphincter
cocksukka,cock,sexual anatomy / sexual acts,2.2,Strong,cocksukka
phuc,fuck,sexual anatomy / sexual acts,2.0,Strong,phuc
fkker,fuck,sexual anatomy / sexual acts,2.2,Strong,fkker
ragtard,retard,racial / ethnic slurs,3.0,Severe,ragtard
cunt licker,cunt,sexual anatomy / sexual acts,3.0,Severe,cuntlicker
mothafucced,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafucced
markasses,ass,sexual anatomy / sexual acts,2.0,Strong,markasses
wetbacks,wetback,racial / ethnic slurs,2.6,Severe,wetbacks
w4nk3r,wank,sexual anatomy / sexual acts,1.6,Strong,w4nk3r
goddamn son-of-a-bitch,damn,religious offense,1.4,Mild,goddamnson-of-a-bitch
d1ck,dick,sexual anatomy / sexual acts,1.0,Mild,d1ck
0ral seks,sex,sexual anatomy / sexual acts,1.0,Mild,0ralseks
fukkuh,fuck,sexual anatomy / sexual acts,2.2,Strong,fukkuh
knob3d,knob,sexual anatomy / sexual acts,1.6,Strong,knob3d
darktard,retard,racial / ethnic slurs,3.0,Severe,darktard
Tranny,tranny,sexual orientation / gender,2.8,Severe,Tranny
mothercker,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mothercker
booty,booty,sexual anatomy / sexual acts,1.0,Mild,booty
nig-nog,nigger,racial / ethnic slurs,2.8,Severe,nig-nog
clusterfucking,fuck,sexual anatomy / sexual acts,2.0,Strong,clusterfucking
negroid,negro,racial / ethnic slurs,2.6,Severe,negroid
nignog,nigger,racial / ethnic slurs,2.8,Severe,nignog
arse-hole,arse,sexual anatomy / sexual acts,1.8,Strong,arse-hole
bullshit,shit,bodily fluids / excrement,1.2,Mild,bullshit
peter,peter puffer,sexual anatomy / sexual acts,1.0,Mild,peter
mutha fucker,motherfucker,sexual anatomy / sexual acts,2.4,Strong,muthafucker
chinese-virus,china virus,political,2.8,Severe,chinese-virus
b to the inch,bitch,sexual orientation / gender,1.2,Mild,binch
shite,shit,bodily fluids / excrement,1.0,Mild,shite
whore,whore,sexual orientation / gender,1.8,Strong,whore
mutherfuckers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mutherfuckers
shiesterfucks,fuck,sexual anatomy / sexual acts,2.4,Strong,shiesterfucks
w4nker,wank,sexual anatomy / sexual acts,1.0,Mild,w4nker
niguh,nigger,racial / ethnic slurs,2.8,Severe,niguh
pissoff,piss,bodily fluids / excrement,1.2,Mild,pissoff
jackasses,ass,sexual anatomy / sexual acts,1.0,Mild,jackasses
shi+,shit,bodily fluids / excrement,1.0,Mild,shi+
dicklicker,dick,sexual anatomy / sexual acts,2.2,Strong,dicklicker
god damn,damn,religious offense,1.4,Mild,goddamn
meat-sword,meat,sexual anatomy / sexual acts,1.2,Mild,meat-sword
fvcker,fuck,sexual anatomy / sexual acts,2.4,Strong,fvcker
wh0re,whore,sexual orientation / gender,2.0,Strong,wh0re
fucking asshole,fuck,sexual anatomy / sexual acts,2.8,Severe,fuckingasshole
bastardish,bastard,other / general insult,1.0,Mild,bastardish
she-male,shemale,sexual orientation / gender,2.8,Severe,she-male
cockhead,cock,sexual anatomy / sexual acts,1.8,Strong,cockhead
dumbass son-of-a-bitch,bitch,sexual anatomy / sexual acts,1.8,Strong,dumbassson-of-a-bitch
clusterfuck,fuck,sexual anatomy / sexual acts,1.8,Strong,clusterfuck
buttfuck,fuck,sexual anatomy / sexual acts,2.2,Strong,buttfuck
shit for brains,shit,bodily fluids / excrement,1.6,Strong,shitbrains
m@asterbated,masturbate,sexual anatomy / sexual acts,1.4,Mild,m@asterbated
gin jockey,gin jockey,sexual anatomy / sexual acts,2.0,Strong,ginjockey
groid,groid,racial / ethnic slurs,2.0,Strong,groid
c0ckhead,cock,sexual anatomy / sexual acts,2.0,Strong,c0ckhead
pusses,pussy,sexual anatomy / sexual acts,1.4,Mild,pusses
cocksucker,cock,sexual anatomy / sexual acts,2.2,Strong,cocksucker
wanking,wank,sexual anatomy / sexual acts,1.0,Mild,wanking
fuckshithead,fuck,sexual anatomy / sexual acts,2.8,Severe,fuckshithead
cajones,cojones,sexual anatomy / sexual acts,1.0,Mild,cajones
knob-gobbler,knob,sexual anatomy / sexual acts,1.6,Strong,knob-gobbler
diddle,diddle,sexual anatomy / sexual acts,1.0,Mild,diddle
r3t@rded,retarded,mental disability,2.8,Severe,r3t@rded
shitblimp,shit,bodily fluids / excrement,1.6,Strong,shitblimp
zip in the wire,zipperhead,racial / ethnic slurs,1.4,Mild,zipwire
j3rk,jerk,other / general insult,1.0,Mild,j3rk
chinavirus,china virus,political,2.6,Severe,chinavirus
motherfcks,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfcks
cocklicker,cock,sexual anatomy / sexual acts,2.2,Strong,cocklicker
nickk3r,nigger,racial / ethnic slurs,3.0,Severe,nickk3r
batshite,shit,bodily fluids / excrement,1.2,Mild,batshite
bastard,bastard,other / general insult,1.2,Mild,bastard
dogstyle,doggy style,sexual anatomy / sexual acts,1.0,Mild,dogstyle
fcukker,fuck,sexual anatomy / sexual acts,2.2,Strong,fcukker
shitdikk,shit,bodily fluids / excrement,2.0,Strong,shitdikk
shemal3,shemale,sexual orientation / gender,1.8,Strong,shemal3
shitfucker,fuck,sexual anatomy / sexual acts,2.4,Strong,shitfucker
bater,masturbate,sexual anatomy / sexual acts,1.6,Strong,bater
muthafecker,motherfucker,sexual anatomy / sexual acts,2.8,Severe,muthafecker
coot coot,coot,sexual anatomy / sexual acts,1.4,Mild,cootcoot
spicfuck,fuck,sexual anatomy / sexual acts,3.0,Severe,spicfuck
pedobears,pedophile,other / general insult,2.2,Strong,pedobears
pillow-biter,pillow biter,sexual orientation / gender,1.6,Strong,pillow-biter
cock-gobbler,cock,sexual anatomy / sexual acts,2.4,Strong,cock-gobbler
vajayjay,vagina,sexual anatomy / sexual acts,1.2,Mild,vajayjay
crazy mofos,motherfucker,sexual anatomy / sexual acts,1.4,Mild,crazymofos
twats,twat,sexual anatomy / sexual acts,1.6,Strong,twats
fvckin,fuck,sexual anatomy / sexual acts,1.8,Strong,fvckin
nikkas,nigger,racial / ethnic slurs,3.0,Severe,nikkas
knob jockey,knob,sexual anatomy / sexual acts,1.8,Strong,knobjockey
god damn it,damn,religious offense,1.8,Strong,goddamn
fuckin,fuck,sexual anatomy / sexual acts,2.0,Strong,fuckin
fckedup,fuck,sexual anatomy / sexual acts,2.0,Strong,fckedup
dick sucker,dick,sexual anatomy / sexual acts,2.2,Strong,dicksucker
what the fuck,fuck,other / general insult,2.2,Strong,fuck
niggahz,nigger,racial / ethnic slurs,3.0,Severe,niggahz
sh1tdick,shit,sexual anatomy / sexual acts,2.4,Strong,sh1tdick
cumslut,cum,bodily fluids / excrement,2.8,Severe,cumslut
motherfvcker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfvcker
slanty,slant eye,racial / ethnic slurs,2.6,Severe,slanty
jizzy,jizz,bodily fluids / excrement,1.6,Strong,jizzy
b1tching,bitch,sexual orientation / gender,1.2,Mild,b1tching
cumming,cum,bodily fluids / excrement,1.6,Strong,cumming
wigger,nigger,racial / ethnic slurs,2.6,Severe,wigger
mothafucker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafucker
dipshitter,shit,bodily fluids / excrement,1.6,Strong,dipshitter
ass-bandit,ass,sexual anatomy / sexual acts,1.8,Strong,ass-bandit
fcked,fuck,sexual anatomy / sexual acts,2.0,Strong,fcked
shitdicks,shit,sexual anatomy / sexual acts,2.0,Strong,shitdicks
faggot mofoes,faggot,sexual anatomy / sexual acts,3.0,Severe,faggotmofoes
fuckk,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckk
fugly,fuck,physical attributes,1.4,Mild,fugly
r3t@rd,retard,mental disability,2.8,Severe,r3t@rd
ladyb0i,ladyboy,sexual orientation / gender,2.2,Strong,ladyb0i
baby batter,baby batter,bodily fluids / excrement,1.4,Mild,babybatter
cuntness,cunt,sexual anatomy / sexual acts,3.0,Severe,cuntness
bitching,bitch,sexual orientation / gender,1.0,Mild,bitching
niggazzes,nigger,racial / ethnic slurs,2.8,Severe,niggazzes
beaners,beaner,racial / ethnic slurs,2.6,Severe,beaners
phucchead,fuck,sexual anatomy / sexual acts,2.0,Strong,phucchead
Phukking,fuck,sexual anatomy / sexual acts,1.8,Strong,Phukking
assfk,ass,sexual anatomy / sexual acts,2.2,Strong,assfk
biotch,bitch,sexual orientation / gender,1.0,Mild,biotch
fvckbunny,fuck,sexual anatomy / sexual acts,2.2,Strong,fvckbunny
phuck,fuck,sexual anatomy / sexual acts,2.2,Strong,phuck
soppy bollucks,bollocks,sexual anatomy / sexual acts,1.6,Strong,soppybollucks
wophead,wop,racial / ethnic slurs,2.2,Strong,wophead
cyberfvcks,fuck,sexual anatomy / sexual acts,2.2,Strong,cyberfvcks
m0f0,motherfucker,sexual anatomy / sexual acts,2.0,Strong,m0f0
jizz,jizz,bodily fluids / excrement,1.6,Strong,jizz
ph@ggots,faggot,sexual orientation / gender,2.8,Severe,ph@ggots
g@yshit,shit,sexual orientation / gender,2.6,Severe,g@yshit
nigg4h,nigger,racial / ethnic slurs,3.0,Severe,nigg4h
nobjokeys,knob,sexual orientation / gender,1.8,Strong,nobjokeys
basturd,bastard,bodily fluids / excrement,1.2,Mild,basturd
prick,prick,sexual anatomy / sexual acts,1.0,Mild,prick
sh1td1ck,shit,bodily fluids / excrement,2.0,Strong,sh1td1ck
punkasses,ass,other / general insult,1.2,Mild,punkasses
cuksukka,cock,sexual anatomy / sexual acts,2.2,Strong,cuksukka
ladboyz,ladyboy,sexual orientation / gender,1.4,Mild,ladboyz
butt-fucker,fuck,sexual anatomy / sexual acts,2.2,Strong,butt-fucker
dickskin,dick,sexual anatomy / sexual acts,1.8,Strong,dickskin
carpet muncher,carpet muncher,sexual anatomy / sexual acts,2.4,Strong,carpetmuncher
fuck y0u,fuck,sexual anatomy / sexual acts,2.4,Strong,fucky0u
animal fucker,fuck,sexual anatomy / sexual acts,3.0,Severe,animalfucker
n1ggahs,niggers,racial / ethnic slurs,3.0,Severe,n1ggahs
diks,dick,sexual anatomy / sexual acts,1.2,Mild,diks
ladyb0y,ladyboy,sexual orientation / gender,2.4,Strong,ladyb0y
mothafuckasses,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafuckasses
m@derfuck,motherfucker,sexual anatomy / sexual acts,3.0,Severe,m@derfuck
bi + ch,bitch,sexual orientation / gender,1.2,Mild,bi+ch
queerasses,queer,sexual orientation / gender,3.0,Severe,queerasses
cocksucking,cock,sexual anatomy / sexual acts,2.4,Strong,cocksucking
shit head,shit,bodily fluids / excrement,1.8,Strong,shithead
jim crow,jim crow,racial / ethnic slurs,1.4,Mild,jimcrow
get fucked,fuck,sexual anatomy / sexual acts,2.4,Strong,getfucked
jizz licker,jizz,sexual anatomy / sexual acts,2.4,Strong,jizzlicker
kkk,kkk,other / general insult,1.8,Strong,kkk
jigaboos,jiggaboo,racial / ethnic slurs,2.8,Severe,jigaboos
motha fucker,motherfucker,sexual anatomy / sexual acts,2.4,Strong,mothafucker
spook,spook,racial / ethnic slurs,3.0,Severe,spook
d1ckz,dick,sexual anatomy / sexual acts,1.0,Mild,d1ckz
bum-driller,bum,sexual anatomy / sexual acts,2.8,Severe,bum-driller
goddammit,damn,religious offense,1.0,Mild,goddammit
dumbass fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,dumbassfucker
fcking,fuck,sexual anatomy / sexual acts,2.2,Strong,fcking
knobendy,knob,sexual anatomy / sexual acts,1.6,Strong,knobendy
cockhed,cock,sexual anatomy / sexual acts,2.0,Strong,cockhed
fukin,fuck,sexual anatomy / sexual acts,2.2,Strong,fukin
fag0t,faggot,sexual orientation / gender,3.0,Severe,fag0t
f@gs,faggot,sexual orientation / gender,3.0,Severe,f@gs
arsewipe,arse,sexual anatomy / sexual acts,1.4,Mild,arsewipe
fuq,fuck,sexual anatomy / sexual acts,1.8,Strong,fuq
vag,vagina,sexual anatomy / sexual acts,1.2,Mild,vag
choke the chicken,choke the chicken,sexual anatomy / sexual acts,1.4,Mild,chokechicken
clitlickers,clit,sexual anatomy / sexual acts,2.0,Strong,clitlickers
higg@,nigger,racial / ethnic slurs,2.6,Severe,higg@
jack-off,jack off,sexual anatomy / sexual acts,1.2,Mild,jack-off
shit fuck,fuck,other / general insult,2.4,Strong,shitfuck
shitehead,shit,bodily fluids / excrement,1.8,Strong,shitehead
c*nt,cunt,sexual anatomy / sexual acts,3.0,Severe,c*nt
fucked up,fuck,sexual anatomy / sexual acts,2.2,Strong,fucked
beaner,beaner,racial / ethnic slurs,2.6,Severe,beaner
fucx,fuck,sexual anatomy / sexual acts,2.2,Strong,fucx
nigg@z,nigger,racial / ethnic slurs,2.6,Severe,nigg@z
d!ck,dick,sexual anatomy / sexual acts,1.0,Mild,d!ck
full of shit,shit,bodily fluids / excrement,1.0,Mild,fullshit
twatzilla,twat,sexual anatomy / sexual acts,2.0,Strong,twatzilla
willy-whacker,willy-whacker,sexual anatomy / sexual acts,1.8,Strong,willy-whacker
MFers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,MFers
b1tchy,bitch,sexual orientation / gender,1.2,Mild,b1tchy
faget,faggot,sexual orientation / gender,3.0,Severe,faget
slanteye,slant eye,racial / ethnic slurs,3.0,Severe,slanteye
c0x,cock,sexual anatomy / sexual acts,1.4,Mild,c0x
0rgasms,orgasm,sexual anatomy / sexual acts,1.0,Mild,0rgasms
shittyfuckface,fuck,sexual anatomy / sexual acts,2.2,Strong,shittyfuckface
mofucckers,motherfucker,sexual anatomy / sexual acts,2.4,Strong,mofucckers
schlong,schlong,sexual anatomy / sexual acts,1.0,Mild,schlong
tart,tart,mental disability,1.2,Mild,tart
fag asses,faggot,sexual orientation / gender,2.8,Severe,fagasses
fukkers,fuck,sexual anatomy / sexual acts,2.0,Strong,fukkers
motha fuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafuckers
n0bhead,knob,sexual anatomy / sexual acts,1.6,Strong,n0bhead
d!ldo,dildo,sexual anatomy / sexual acts,1.4,Mild,d!ldo
goddamn mothafuckers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,goddamnmothafuckers
n1gga,nigger,racial / ethnic slurs,2.4,Strong,n1gga
ku kluxer,ku kluxer,racial / ethnic slurs,2.6,Severe,kukluxer
carpetmunchers,carpet muncher,sexual orientation / gender,2.2,Strong,carpetmunchers
peener,penis,sexual anatomy / sexual acts,1.0,Mild,peener
ass eating boiolas,ass,sexual anatomy / sexual acts,2.8,Severe,asseatingboiolas
turdcutter,turd,other / general insult,1.6,Strong,turdcutter
negr0,negro,racial / ethnic slurs,2.8,Severe,negr0
mufdivin,muff,sexual anatomy / sexual acts,2.8,Severe,mufdivin
@sshole,ass,sexual anatomy / sexual acts,1.6,Strong,@sshole
cock,cock,sexual anatomy / sexual acts,1.4,Mild,cock
klitoris,clit,sexual anatomy / sexual acts,1.0,Mild,klitoris
m0fos,motherfucker,sexual anatomy / sexual acts,2.6,Severe,m0fos
phaggot,faggot,sexual orientation / gender,2.8,Severe,phaggot
homo,homosexual,sexual orientation / gender,2.2,Strong,homo
fuggings,fuck,sexual anatomy / sexual acts,2.0,Strong,fuggings
fxcker,fuck,sexual anatomy / sexual acts,2.2,Strong,fxcker
arse hole,arse,sexual anatomy / sexual acts,1.2,Mild,arsehole
cock-sucker,cock,sexual anatomy / sexual acts,2.0,Strong,cock-sucker
assfkcer,ass,sexual anatomy / sexual acts,2.6,Severe,assfkcer
cockh3ad,cock,sexual anatomy / sexual acts,2.4,Strong,cockh3ad
asshole fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,assholefucker
fcukers,fuck,sexual anatomy / sexual acts,2.2,Strong,fcukers
mothafcking,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafcking
sh1tsome,shit,bodily fluids / excrement,1.2,Mild,sh1tsome
skankz,skank,sexual orientation / gender,1.6,Strong,skankz
cuntlick,cunt,sexual anatomy / sexual acts,3.0,Severe,cuntlick
spick,spic,racial / ethnic slurs,2.8,Severe,spick
cockmunch,cock,sexual anatomy / sexual acts,2.2,Strong,cockmunch
n1g3r,nigger,racial / ethnic slurs,3.0,Severe,n1g3r
punani,punani,sexual anatomy / sexual acts,1.8,Strong,punani
cock knocker,cock,sexual anatomy / sexual acts,1.8,Strong,cockknocker
faggot,faggot,sexual orientation / gender,2.8,Severe,faggot
fookuh,fuck,sexual anatomy / sexual acts,1.8,Strong,fookuh
fucking,fuck,sexual anatomy / sexual acts,2.2,Strong,fucking
carpetmunching,carpet muncher,sexual anatomy / sexual acts,1.6,Strong,carpetmunching
clusterfucked,fuck,sexual anatomy / sexual acts,2.2,Strong,clusterfucked
motherfuckkers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuckkers
mothafuckas,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafuckas
packingfudgefucker,fudge packer,sexual anatomy / sexual acts,2.8,Severe,packingfudgefucker
mofo,motherfucker,sexual anatomy / sexual acts,2.0,Strong,mofo
cuntbollock,cunt,sexual anatomy / sexual acts,2.2,Strong,cuntbollock
tits,tit,sexual anatomy / sexual acts,1.0,Mild,tits
m0ng0l0id,mongoloid,mental disability,2.2,Strong,m0ng0l0id
mother fucking,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfucking
nigga lover,nigger,racial / ethnic slurs,3.0,Severe,niggalover
pussys,pussy,sexual anatomy / sexual acts,2.0,Strong,pussys
nip,nipple,sexual anatomy / sexual acts,2.0,Strong,nip
MFer,motherfucker,sexual anatomy / sexual acts,1.8,Strong,MFer
anus plug,anus,sexual anatomy / sexual acts,2.0,Strong,anusplug
@ssfcker,fuck,sexual anatomy / sexual acts,2.8,Severe,@ssfcker
pole smoker,pole smoker,sexual anatomy / sexual acts,2.0,Strong,polesmoker
oven dodger,oven dodger,racial / ethnic slurs,2.0,Strong,ovendodger
puta,punta,sexual orientation / gender,1.8,Strong,puta
shitheadfuckface,fuck,sexual anatomy / sexual acts,2.4,Strong,shitheadfuckface
sh1t3,shit,bodily fluids / excrement,1.0,Mild,sh1t3
niggir,nigger,racial / ethnic slurs,3.0,Severe,niggir
trashbtch,bitch,sexual orientation / gender,1.4,Mild,trashbtch
biotchez,bitch,sexual orientation / gender,1.4,Mild,biotchez
nigg@hs,nigger,racial / ethnic slurs,2.8,Severe,nigg@hs
penisfuccer,penis,sexual anatomy / sexual acts,2.8,Severe,penisfuccer
fuck off,fuck,sexual anatomy / sexual acts,2.0,Strong,fuck
muthafucka,motherfucker,sexual anatomy / sexual acts,2.8,Severe,muthafucka
double pen,double pen,sexual anatomy / sexual acts,1.2,Mild,doublepen
fuck faces,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckfaces
fxck,fuck,sexual anatomy / sexual acts,1.6,Strong,fxck
assfvcker,fuck,sexual anatomy / sexual acts,2.6,Severe,assfvcker
shitsfuck,fuck,sexual anatomy / sexual acts,2.2,Strong,shitsfuck
twatt,twat,sexual anatomy / sexual acts,1.6,Strong,twatt
trashb1tch,bitch,sexual orientation / gender,1.8,Strong,trashb1tch
l3i + ch,bitch,sexual orientation / gender,1.2,Mild,l3i+ch
l3itches,bitch,sexual orientation / gender,1.2,Mild,l3itches
fvck,fuck,sexual anatomy / sexual acts,1.8,Strong,fvck
anal pirate,anal,sexual anatomy / sexual acts,2.2,Strong,analpirate
cunt,cunt,sexual anatomy / sexual acts,2.6,Severe,cunt
fuckstick,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckstick
gaylords,gay,sexual orientation / gender,2.2,Strong,gaylords
suck,suck,sexual anatomy / sexual acts,1.0,Mild,suck
phukeds,fuck,sexual anatomy / sexual acts,2.0,Strong,phukeds
motherfvcked,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherfvcked
muffindivin,muff,sexual anatomy / sexual acts,1.8,Strong,muffindivin
darkshit,shit,bodily fluids / excrement,3.0,Severe,darkshit
trashbitch,bitch,sexual orientation / gender,2.0,Strong,trashbitch
wank3rs,wank,sexual anatomy / sexual acts,1.0,Mild,wank3rs
n1ggas,nigger,racial / ethnic slurs,3.0,Severe,n1ggas
fuk,fuck,sexual anatomy / sexual acts,2.0,Strong,fuk
l@dyb0i,ladyboy,sexual orientation / gender,2.2,Strong,l@dyb0i
towelheads,towelhead,racial / ethnic slurs,3.0,Severe,towelheads
c0cksucked,cock,sexual anatomy / sexual acts,2.0,Strong,c0cksucked
mother fuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuckers
hoar,whore,sexual orientation / gender,1.8,Strong,hoar
arseshit,arse,sexual anatomy / sexual acts,1.8,Strong,arseshit
nobjocky,knob,sexual anatomy / sexual acts,2.4,Strong,nobjocky
bassturd,bastard,other / general insult,1.2,Mild,bassturd
shiesterfuck,fuck,sexual anatomy / sexual acts,2.2,Strong,shiesterfuck
